repo,date,stars_gained_that_day,prs_opened_that_day,cumulative_stars,cumulative_prs
apache/kafka,2025-01-01,5,0,28968,17239
apache/kafka,2025-01-02,12,5,28980,17244
apache/kafka,2025-01-03,3,5,28983,17249
apache/kafka,2025-01-04,4,2,28987,17251
apache/kafka,2025-01-05,4,3,28991,17254
apache/kafka,2025-01-06,8,16,28999,17270
apache/kafka,2025-01-07,4,19,29003,17289
apache/kafka,2025-01-08,14,26,29017,17315
apache/kafka,2025-01-09,2,15,29019,17330
apache/kafka,2025-01-10,11,21,29030,17351
apache/kafka,2025-01-11,5,4,29035,17355
apache/kafka,2025-01-12,8,6,29043,17361
apache/kafka,2025-01-13,5,17,29048,17378
apache/kafka,2025-01-14,9,28,29057,17406
apache/kafka,2025-01-15,10,24,29067,17430
apache/kafka,2025-01-16,12,17,29079,17447
apache/kafka,2025-01-17,13,21,29092,17468
apache/kafka,2025-01-18,6,9,29098,17477
apache/kafka,2025-01-19,6,18,29104,17495
apache/kafka,2025-01-20,9,20,29113,17515
apache/kafka,2025-01-21,5,13,29118,17528
apache/kafka,2025-01-22,12,10,29130,17538
apache/kafka,2025-01-23,5,8,29135,17546
apache/kafka,2025-01-24,5,18,29140,17564
apache/kafka,2025-01-25,5,7,29145,17571
apache/kafka,2025-01-26,7,3,29152,17574
apache/kafka,2025-01-27,13,9,29165,17583
apache/kafka,2025-01-28,1,13,29166,17596
apache/kafka,2025-01-29,8,13,29174,17609
apache/kafka,2025-01-30,7,13,29181,17622
apache/kafka,2025-01-31,12,13,29193,17635
apache/kafka,2025-02-01,10,6,29203,17641
apache/kafka,2025-02-02,7,3,29210,17644
apache/kafka,2025-02-03,4,14,29214,17658
apache/kafka,2025-02-04,8,10,29222,17668
apache/kafka,2025-02-05,5,6,29227,17674
apache/kafka,2025-02-06,8,17,29235,17691
apache/kafka,2025-02-07,7,9,29242,17700
apache/kafka,2025-02-08,6,8,29248,17708
apache/kafka,2025-02-09,6,1,29254,17709
apache/kafka,2025-02-10,7,11,29261,17720
apache/kafka,2025-02-11,9,10,29270,17730
apache/kafka,2025-02-12,10,13,29280,17743
apache/kafka,2025-02-13,8,16,29288,17759
apache/kafka,2025-02-14,5,14,29293,17773
apache/kafka,2025-02-15,6,8,29299,17781
apache/kafka,2025-02-16,10,8,29309,17789
apache/kafka,2025-02-17,6,12,29315,17801
apache/kafka,2025-02-18,7,20,29322,17821
apache/kafka,2025-02-19,14,17,29336,17838
apache/kafka,2025-02-20,7,13,29343,17851
apache/kafka,2025-02-21,7,13,29350,17864
apache/kafka,2025-02-22,6,12,29356,17876
apache/kafka,2025-02-23,11,5,29367,17881
apache/kafka,2025-02-24,12,5,29379,17886
apache/kafka,2025-02-25,3,9,29382,17895
apache/kafka,2025-02-26,8,14,29390,17909
apache/kafka,2025-02-27,5,7,29395,17916
apache/kafka,2025-02-28,8,9,29403,17925
apache/kafka,2025-03-01,8,9,29411,17934
apache/kafka,2025-03-02,2,4,29413,17938
apache/kafka,2025-03-03,13,8,29426,17946
apache/kafka,2025-03-04,6,17,29432,17963
apache/kafka,2025-03-05,7,27,29439,17990
apache/kafka,2025-03-06,14,19,29453,18009
apache/kafka,2025-03-07,15,18,29468,18027
apache/kafka,2025-03-08,4,2,29472,18029
apache/kafka,2025-03-09,10,4,29482,18033
apache/kafka,2025-03-10,5,13,29487,18046
apache/kafka,2025-03-11,11,6,29498,18052
apache/kafka,2025-03-12,7,7,29505,18059
apache/kafka,2025-03-13,14,11,29519,18070
apache/kafka,2025-03-14,8,4,29527,18074
apache/kafka,2025-03-15,10,3,29537,18077
apache/kafka,2025-03-16,2,4,29539,18081
apache/kafka,2025-03-17,3,5,29542,18086
apache/kafka,2025-03-18,13,11,29555,18097
apache/kafka,2025-03-19,9,17,29564,18114
apache/kafka,2025-03-20,11,8,29575,18122
apache/kafka,2025-03-21,10,6,29585,18128
apache/kafka,2025-03-22,13,1,29598,18129
apache/kafka,2025-03-23,15,4,29613,18133
apache/kafka,2025-03-24,10,8,29623,18141
apache/kafka,2025-03-25,11,10,29634,18151
apache/kafka,2025-03-26,9,8,29643,18159
apache/kafka,2025-03-27,10,8,29653,18167
apache/kafka,2025-03-28,9,8,29662,18175
apache/kafka,2025-03-29,4,2,29666,18177
apache/kafka,2025-03-30,8,3,29674,18180
apache/kafka,2025-03-31,9,12,29683,18192
