date,day-stars,total-stars
01-01-2025,5,28968
02-01-2025,12,28980
03-01-2025,3,28983
04-01-2025,4,28987
05-01-2025,4,28991
06-01-2025,8,28999
07-01-2025,4,29003
08-01-2025,14,29017
09-01-2025,2,29019
10-01-2025,11,29030
11-01-2025,5,29035
12-01-2025,8,29043
13-01-2025,5,29048
14-01-2025,9,29057
15-01-2025,10,29067
16-01-2025,12,29079
17-01-2025,13,29092
18-01-2025,6,29098
19-01-2025,6,29104
20-01-2025,9,29113
21-01-2025,5,29118
22-01-2025,12,29130
23-01-2025,5,29135
24-01-2025,5,29140
25-01-2025,5,29145
26-01-2025,7,29152
27-01-2025,13,29165
28-01-2025,1,29166
29-01-2025,8,29174
30-01-2025,7,29181
31-01-2025,12,29193
01-02-2025,10,29203
02-02-2025,7,29210
03-02-2025,4,29214
04-02-2025,8,29222
05-02-2025,5,29227
06-02-2025,8,29235
07-02-2025,7,29242
08-02-2025,6,29248
09-02-2025,6,29254
10-02-2025,7,29261
11-02-2025,9,29270
12-02-2025,10,29280
13-02-2025,8,29288
14-02-2025,5,29293
15-02-2025,6,29299
16-02-2025,10,29309
17-02-2025,6,29315
18-02-2025,7,29322
19-02-2025,14,29336
20-02-2025,7,29343
21-02-2025,7,29350
22-02-2025,6,29356
23-02-2025,11,29367
24-02-2025,12,29379
25-02-2025,3,29382
26-02-2025,8,29390
27-02-2025,5,29395
28-02-2025,8,29403
01-03-2025,8,29411
02-03-2025,2,29413
03-03-2025,13,29426
04-03-2025,6,29432
05-03-2025,7,29439
06-03-2025,14,29453
07-03-2025,15,29468
08-03-2025,4,29472
09-03-2025,10,29482
10-03-2025,5,29487
11-03-2025,11,29498
12-03-2025,7,29505
13-03-2025,14,29519
14-03-2025,8,29527
15-03-2025,10,29537
16-03-2025,2,29539
17-03-2025,3,29542
18-03-2025,13,29555
19-03-2025,9,29564
20-03-2025,11,29575
21-03-2025,10,29585
22-03-2025,13,29598
23-03-2025,15,29613
24-03-2025,10,29623
25-03-2025,11,29634
26-03-2025,9,29643
27-03-2025,10,29653
28-03-2025,9,29662
29-03-2025,4,29666
30-03-2025,8,29674
31-03-2025,9,29683
01-04-2025,6,29689
02-04-2025,11,29700
03-04-2025,11,29711
04-04-2025,3,29714
05-04-2025,3,29717
06-04-2025,3,29720
07-04-2025,10,29730
08-04-2025,9,29739
09-04-2025,11,29750
10-04-2025,9,29759
11-04-2025,10,29769
12-04-2025,11,29780
13-04-2025,7,29787
14-04-2025,6,29793
15-04-2025,10,29803
16-04-2025,10,29813
17-04-2025,11,29824
18-04-2025,10,29834
19-04-2025,10,29844
20-04-2025,8,29852
21-04-2025,4,29856
22-04-2025,13,29869
23-04-2025,10,29879
24-04-2025,13,29892
25-04-2025,5,29897
26-04-2025,5,29902
27-04-2025,9,29911
28-04-2025,8,29919
29-04-2025,10,29929
30-04-2025,9,29938
01-05-2025,8,29946
02-05-2025,3,29949
03-05-2025,10,29959
04-05-2025,6,29965
05-05-2025,9,29974
06-05-2025,6,29980
07-05-2025,8,29988
08-05-2025,4,29992
09-05-2025,2,29994
10-05-2025,6,30000
11-05-2025,3,30003
12-05-2025,9,30012
13-05-2025,8,30020
14-05-2025,11,30031
15-05-2025,10,30041
16-05-2025,5,30046
17-05-2025,10,30056
18-05-2025,14,30070
19-05-2025,4,30074
20-05-2025,8,30082
21-05-2025,9,30091
22-05-2025,11,30102
23-05-2025,13,30115
24-05-2025,4,30119
25-05-2025,9,30128
26-05-2025,8,30136
27-05-2025,7,30143
28-05-2025,7,30150
29-05-2025,5,30155
30-05-2025,7,30162
31-05-2025,8,30170
01-06-2025,3,30173
02-06-2025,5,30178
03-06-2025,8,30186
04-06-2025,5,30191
05-06-2025,4,30195
06-06-2025,11,30206
07-06-2025,4,30210
08-06-2025,9,30219
09-06-2025,5,30224
10-06-2025,8,30232
11-06-2025,12,30244
12-06-2025,6,30250
13-06-2025,12,30262
14-06-2025,3,30265
15-06-2025,2,30267
16-06-2025,6,30273
17-06-2025,8,30281
18-06-2025,5,30286
19-06-2025,7,30293
